City/Town,Name,Airport Traffic Level
Ahmedabad,AMD,1
Bhuj,BHJ,3
Jaisalmer,JSA,3
Jodhpur,JDH,2
Jammu,IXJ,3
Amritsar,ATQ,2
Chandigarh,IXC,2
Dehradun,DED,2
New Delhi,DEL,1
Jaipur,JAI,2
Agra,AGR,3
Lucknow,LKO,1
Bagdogra,IXB,2
Varanasi,VNS,2
Patna,PAT,2
Ranchi,IXR,2
Kolkata,CCU,1
Indore,IDR,2
Bhopal,BHO,2
Bhubaneswar,BBI,2
Raipur,RPR,2
Nagpur,NAG,2
Hyderabad,HYD,1
Chennai,MAA,1
Bengaluru,BLR,1
Kochi,COK,1
Nasik,ISK,2
Pune,PNQ,1
Kolhapur,KLH,3
Belgaum,IXG,2
Mopa,GOX,2
Goa,GOI,1
Mumbai,BOM,1
Madurai,IXM,2
Rajkot,RAJ,3
Surat,STV,2
Darbhanga,DBR,3
Durgapur,RDP,3
Vadodara,BDQ,3
Pondicherry,PNY,3
Hubli/Dharwad,HBX,2
Mangalore,IXE,2
Vijayawada,VGA,2
Kannur,CNN,2
Tuticorin,TCR,3
Port Blair,IXZ,2
Kurnool,KJB,3
Agartala,IXA,2
Tirupati,TIR,2
Coimbatore,CJB,2
Kanpur,KNU,3
Gulbarga,GBI,3
Visakhapatnam,VTZ,2
Kozhikode,CCJ,2
Thiruvananthapuram,TRV,2
Bidar,IXX,3
Prayagraj,IXD,2
Rajahmundry,RJA,3
Tiruchirappalli,TRZ,2
Shirdi,SAG,3
Guwahati,GAU,2
Gwalior,GWL,3
Udaipur,UDR,2
Gorakhpur,GOP,3
Sindhudurg,SDW,3
Jamnagar,JGA,3
Srinagar,SXR,2
Diu,DIU,3
Bhavnagar,BHU,3
Aurangabad,IXU,3
Jabalpur,JLR,2
Kandla,IXY,3
Leh,IXL,3
Bareilly,BEK,3
Kadapa,CDP,3
Mysore,MYQ,3
Jharsuguda,JRG,3
Aizawl,AJL,3
Imphal,IMF,2
Dimapur,DMU,3
Dibrugarh,DIB,2
Silchar,IXS,3
Jorhat,JRH,3
Deoghar,DGH,3
Shillong,SHL,2
Gaya,GAY,3
Pantnagar,PGH,3
Kushinagar,KBK,3
Kangra,DHM,3
