From,To,Distance,Time,Cheapest Price,Aircraft Type,Number of Flights
PEK,ICN,560,135,223,Narrow Body,5.0
PEK,TPE,1070,200,308,Narrow Body,1.0
PEK,MNL,1786,290,242,Narrow Body,2.0
PEK,BKK,2059,305,433,Narrow Body,1.0
NRT,ICN,780,150,217,Narrow Body,23.0
NRT,TPE,1354,220,283,Narrow Body,6.0
NRT,MNL,1894,300,336,Narrow Body,8.0
NRT,HAN,2310,405,271,Narrow Body,7.0
ICN,PEK,560,140,221,Narrow Body,4.0
ICN,NRT,780,135,85,Narrow Body,26.0
ICN,TPE,909,175,181,Narrow Body,5.0
ICN,PNH,2234,345,206,Narrow Body,1.0
ICN,VTE,1974,315,218,Narrow Body,1.0
ICN,MNL,1620,240,103,Narrow Body,8.0
ICN,BKK,2278,355,154,Narrow Body,7.0
ICN,HAN,1667,275,129,Narrow Body,15.0
TPE,PEK,1070,200,237,Narrow Body,1.0
TPE,NRT,1354,205,142,Narrow Body,6.0
TPE,ICN,909,150,226,Narrow Body,6.0
TPE,PNH,1421,220,205,Narrow Body,1.0
TPE,MNL,730,140,107,Narrow Body,9.0
TPE,SIN,2000,275,250,Narrow Body,1.0
TPE,BKK,1545,235,218,Narrow Body,8.0
TPE,HAN,1014,205,142,Narrow Body,13.0
DAC,DEL,755,140,148,Narrow Body,3.0
DAC,KTM,506,105,197,Narrow Body,1.0
DAC,SIN,1474,235,370,Narrow Body,2.0
DAC,BKK,879,170,219,Narrow Body,1.0
DEL,DAC,885,150,110,Narrow Body,3.0
DEL,KTM,506,105,69,Narrow Body,9.0
DEL,CMB,1488,215,138,Narrow Body,1.0
DEL,SIN,2582,340,199,Narrow Body,2.0
DEL,BKK,1831,245,153,Narrow Body,6.0
DEL,HAN,1863,270,352,Narrow Body,1.0
KTM,DEL,506,115,100,Narrow Body,9.0
KTM,DAC,411,80,140,Narrow Body,1.0
KTM,BKK,1384,200,245,Narrow Body,1.0
KTM,CMB,1461,220,341,Narrow Body,1.0
CMB,DEL,1488,215,181,Narrow Body,1.0
CMB,KTM,1461,225,373,Narrow Body,1.0
CMB,CGK,2060,280,515,Narrow Body,1.0
CMB,BKK,1485,215,300,Narrow Body,1.0
PNH,PEK,2096,275,244,Narrow Body,1.0
PNH,ICN,2234,320,264,Narrow Body,1.0
PNH,TPE,1421,200,346,Narrow Body,1.0
PNH,HAN,671,110,172,Narrow Body,2.0
PNH,BKK,313,75,61,Narrow Body,23.0
PNH,SIN,705,130,166,Narrow Body,4.0
PNH,VTE,470,90,206,Narrow Body,1.0
CGK,CMB,2060,270,365,Narrow Body,1.0
CGK,MNL,1107,185,172,Narrow Body,2.0
CGK,SIN,705,130,55,Narrow Body,19.0
CGK,BKK,313,75,102,Narrow Body,7.0
VTE,ICN,1974,330,259,Narrow Body,3.0
VTE,BKK,320,60,54,Narrow Body,7.0
VTE,PNH,470,90,197,Narrow Body,1.0
MNL,NRT,1894,265,146,Narrow Body,8.0
MNL,ICN,1620,215,89,Narrow Body,8.0
MNL,TPE,730,140,85,Narrow Body,9.0
MNL,PNH,1107,170,247,Narrow Body,1.0
MNL,CGK,1731,250,181,Narrow Body,2.0
MNL,SIN,1474,235,65,Narrow Body,9.0
MNL,BKK,1358,200,110,Narrow Body,10.0
MNL,HAN,1101,205,79,Narrow Body,3.0
SIN,TPE,2000,280,149,Narrow Body,1.0
SIN,DAC,1799,250,259,Narrow Body,2.0
SIN,DEL,2582,330,217,Narrow Body,2.0
SIN,KTM,2196,330,871,Narrow Body,1.0
SIN,CMB,1707,230,306,Narrow Body,1.0
SIN,CGK,548,105,235,Narrow Body,22.0
SIN,MNL,1474,235,146,Narrow Body,10.0
SIN,BKK,879,170,120,Narrow Body,16.0
SIN,HAN,1377,195,126,Narrow Body,9.0
BKK,PEK,2059,275,366,Narrow Body,1.0
BKK,ICN,2278,315,235,Narrow Body,7.0
BKK,TPE,1545,215,142,Narrow Body,9.0
BKK,DAC,973,165,103,Narrow Body,1.0
BKK,DEL,1831,285,146,Narrow Body,6.0
BKK,KTM,1384,195,249,Narrow Body,1.0
BKK,CMB,1485,210,362,Narrow Body,1.0
BKK,PNH,313,75,52,Narrow Body,23.0
BKK,CGK,1426,230,212,Narrow Body,7.0
BKK,VTE,320,60,49,Narrow Body,7.0
BKK,MNL,1358,195,136,Narrow Body,10.0
BKK,SIN,879,155,128,Narrow Body,17.0
BKK,HAN,617,130,60,Narrow Body,21.0
HAN,NRT,2310,275,212,Narrow Body,6.0
HAN,ICN,1667,250,219,Narrow Body,13.0
HAN,TPE,1014,175,119,Narrow Body,12.0
HAN,DEL,1863,290,284,Narrow Body,1.0
