Route,FROM,TO,PASSENGERS,FREIGHT,MAIL,DAYS
AGARTALA-AHMEDABAD,AGARTALA,AHMEDABAD,3038.0,52.357,0.0,365
AGARTALA-AIZAWL,AGARTALA,AIZAWL,5780.0,0.087,0.0,365
AGARTALA-BENGALURU,AGARTALA,BENGALURU,44195.0,367.947,0.0,365
AGARTALA-BHUBANESWAR,AGARTALA,BHUBANESWAR,18.0,0.0,0.0,61
AGARTALA-CHENNAI,AGARTALA,CHENNAI,12767.0,0.0,0.0,304
AGARTALA-DELHI,AGARTALA,DELHI,62460.0,41.406,1.431,365
AGARTALA-DIBRUGARH,AGARTALA,DIBRUGARH,12436.0,0.0,0.0,365
AGARTALA-GUWAHATI,AGARTALA,GUWAHATI,73104.0,48.452,73.184,365
AGARTALA-IMPHAL,AGARTALA,IMPHAL,13500.0,15.677,0.0,365
AGARTALA-JORHAT,AGARTALA,JORHAT,0.0,0.0,0.0,31
AGARTALA-KOLKATA,AGARTALA,KOLKATA,409462.0,382.3286,18.459,365
AGARTALA-LUCKNOW,AGARTALA,LUCKNOW,0.0,0.0,0.0,59
AGARTALA-MUMBAI,AGARTALA,MUMBAI,0.0,0.0,0.0,90
AGARTALA-SHILLONG,AGARTALA,SHILLONG,8244.0,0.0,0.0,365
AGARTALA-VISAKHAPATNAM,AGARTALA,VISAKHAPATNAM,386.0,0.0,0.0,61
AGATTI ISLAND-BENGALURU,AGATTI ISLAND,BENGALURU,279.0,0.0,0.0,365
AGATTI ISLAND-KOCHI,AGATTI ISLAND,KOCHI,17616.0,8.290000000000001,0.299792,365
AGATTI ISLAND-MYSORE,AGATTI ISLAND,MYSORE,202.0,0.0,0.0,304
AGRA-AHMEDABAD,AGRA,AHMEDABAD,5164.0,0.092,0.0,214
AGRA-BENGALURU,AGRA,BENGALURU,28588.0,1.73,0.0,365
AGRA-BHOPAL,AGRA,BHOPAL,2601.0,0.0,0.0,365
AGRA-LUCKNOW,AGRA,LUCKNOW,5545.0,0.004,0.0,365
AGRA-MUMBAI,AGRA,MUMBAI,15067.0,1.02,0.0,307
AHMEDABAD-AGARTALA,AHMEDABAD,AGARTALA,4098.0,1.299,0.0,365
AHMEDABAD-AGRA,AHMEDABAD,AGRA,5052.0,0.301,0.0,214
AHMEDABAD-AJMER,AHMEDABAD,AJMER,225.0,0.0,0.0,31
