State,District,Year,GDP
AndhraPradesh,ADILABAD,1999-00,3463.28
AndhraPradesh,ADILABAD,2000-01,3742.69
AndhraPradesh,ADILABAD,2001-02,4209.4
AndhraPradesh,ADILABAD,2002-03,4099.29
AndhraPradesh,ADILABAD,2003-04,4781.85
AndhraPradesh,ADILABAD,2004-05,5535.105
AndhraPradesh,ADILABAD,2005-06,6115.67
AndhraPradesh,ADILABAD,2006-07,6842.13
AndhraPradesh,ADILABAD,2007-08,7477.110000000001
AndhraPradesh,ADILABAD,2008-09,9342.33
AndhraPradesh,ADILABAD,2009-10,9514.0
AndhraPradesh,ADILABAD,2010-11,9962.0
AndhraPradesh,ADILABAD,2011-12,10567.0
AndhraPradesh,ADILABAD,2012-13,11111.0
AndhraPradesh,ANANTAPUR,1999-00,4728.59
AndhraPradesh,ANANTAPUR,2000-01,6497.7
AndhraPradesh,ANANTAPUR,2001-02,5726.9
AndhraPradesh,ANANTAPUR,2002-03,5728.86
AndhraPradesh,ANANTAPUR,2003-04,6083.64
AndhraPradesh,ANANTAPUR,2004-05,8582.39
AndhraPradesh,ANANTAPUR,2005-06,8391.195
AndhraPradesh,ANANTAPUR,2006-07,8796.285
AndhraPradesh,ANANTAPUR,2007-08,11316.71
AndhraPradesh,ANANTAPUR,2008-09,12759.93
AndhraPradesh,ANANTAPUR,2009-10,13532.0
AndhraPradesh,ANANTAPUR,2010-11,14793.0
AndhraPradesh,ANANTAPUR,2011-12,15799.0
AndhraPradesh,ANANTAPUR,2012-13,16563.0
AndhraPradesh,CHITTOOR,1999-00,5395.57
AndhraPradesh,CHITTOOR,2000-01,6223.34
AndhraPradesh,CHITTOOR,2001-02,6679.35
AndhraPradesh,CHITTOOR,2002-03,6490.28
AndhraPradesh,CHITTOOR,2003-04,7100.34
AndhraPradesh,CHITTOOR,2004-05,8440.3
AndhraPradesh,CHITTOOR,2005-06,8871.45
AndhraPradesh,CHITTOOR,2006-07,9497.96
AndhraPradesh,CHITTOOR,2007-08,10688.715
AndhraPradesh,CHITTOOR,2008-09,12528.14
AndhraPradesh,CHITTOOR,2009-10,12875.0
AndhraPradesh,CHITTOOR,2010-11,14685.0
AndhraPradesh,CHITTOOR,2011-12,15423.0
AndhraPradesh,CHITTOOR,2012-13,16144.0
AndhraPradesh,GODAVARI EAST,1999-00,9507.67
AndhraPradesh,GODAVARI EAST,2000-01,9664.92
AndhraPradesh,GODAVARI EAST,2001-02,10293.74
AndhraPradesh,GODAVARI EAST,2002-03,10774.68
AndhraPradesh,GODAVARI EAST,2003-04,11955.33
AndhraPradesh,GODAVARI EAST,2004-05,14988.285
AndhraPradesh,GODAVARI EAST,2005-06,14576.7
AndhraPradesh,GODAVARI EAST,2006-07,16405.17
AndhraPradesh,GODAVARI EAST,2007-08,17861.62
AndhraPradesh,GODAVARI EAST,2008-09,21859.9
AndhraPradesh,GODAVARI EAST,2009-10,22527.0
AndhraPradesh,GODAVARI EAST,2010-11,21840.0
AndhraPradesh,GODAVARI EAST,2011-12,22984.0
AndhraPradesh,GODAVARI EAST,2012-13,24317.0
AndhraPradesh,GODAVARI WEST,1999-00,7398.0
AndhraPradesh,GODAVARI WEST,2000-01,7679.4
AndhraPradesh,GODAVARI WEST,2001-02,7581.59
AndhraPradesh,GODAVARI WEST,2002-03,8157.23
AndhraPradesh,GODAVARI WEST,2003-04,9285.8
AndhraPradesh,GODAVARI WEST,2004-05,11411.945
AndhraPradesh,GODAVARI WEST,2005-06,11083.96
AndhraPradesh,GODAVARI WEST,2006-07,11842.695
AndhraPradesh,GODAVARI WEST,2007-08,13642.445
AndhraPradesh,GODAVARI WEST,2008-09,14501.24
AndhraPradesh,GODAVARI WEST,2009-10,15771.0
AndhraPradesh,GODAVARI WEST,2010-11,18355.0
