20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
34369,18906,15463,2244,1055,1189,32447,17129,15318,3397,1693,1704,25048,13981,11067,2828,1663,1165,78786,45043,33743,5182,3618,1564,14947,8525,6422,227,183,44,ANDAMANS,ANDAMAN  NICOBAR ISLANDS,2001
3921,2050,1871,75,34,41,4304,2254,2050,316,173,143,3551,1930,1621,317,228,89,11589,6642,4947,280,235,45,2419,1309,1110,6,6,0,NICOBARS,ANDAMAN  NICOBAR ISLANDS,2001
3544,2143,1401,125,74,51,3980,2375,1605,345,232,113,3491,2008,1483,253,184,69,11869,6835,5034,405,337,68,2650,1447,1203,12,12,0,NICOBARS,ANDAMAN  NICOBAR ISLANDS,2011
9386,4504,4882,416,186,230,10688,5435,5253,799,383,416,9113,4763,4350,768,450,318,30075,16075,14000,1818,1224,594,9017,5039,3978,60,54,6,NORTH   MIDDLE ANDAMAN,ANDAMAN  NICOBAR ISLANDS,2011
24185,12881,11304,2796,1228,1568,27054,14420,12634,4255,2095,2160,23119,12588,10531,3314,1745,1569,72584,39923,32661,8301,5036,3265,13757,7703,6054,472,370,102,SOUTH ANDAMAN,ANDAMAN  NICOBAR ISLANDS,2011
24168,13250,10918,1223,550,673,25087,13282,11805,1672,932,740,17737,9902,7835,1135,716,419,52730,32830,19900,2292,1688,604,7944,4780,3164,78,69,9,ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,1991
3594,1982,1612,102,57,45,4156,2198,1958,200,143,57,2813,1494,1319,92,63,29,9331,5510,3821,194,162,32,1602,917,685,8,5,3,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,1991
170365,79465,90900,4140,2970,1170,180356,85640,94716,5720,4610,1110,145846,74403,71443,3950,3300,650,454846,238298,216548,7630,7120,510,123419,61059,62360,390,360,30,ADILABAD,ANDHRA PRADESH,1991
211594,104321,107273,9511,6864,2647,211850,101350,110500,9785,7303,2482,179390,88160,91230,7161,5601,1560,574315,293460,280855,16232,14146,2086,164725,74581,90144,835,777,58,ADILABAD,ANDHRA PRADESH,2001
260882,131538,129344,39737,24715,15022,237826,117622,120204,30362,20787,9575,205149,101640,103509,15158,10783,4375,689539,342101,347438,26981,21460,5521,232385,104595,127790,2557,2198,359,ADILABAD,ANDHRA PRADESH,2011
