city,pop2023,latitude,longitude
Abohar,130603,30.1445,74.1955
Adilabad,118526,19.672,78.5359
Adoni,163631,15.6279,77.2749
Agartala,203264,23.8361,91.2794
Agra,1430055,27.1833,78.0167
Ahmadnagar,367140,19.0946,74.7384
Ahmedabad,6357693,23.0258,72.5873
Aizawl,265331,23.7289,92.7179
Ajmer,517911,26.4521,74.6387
Akola,428857,20.7096,76.9981
Alandur,153775,13.0025,80.2061
Alappuzha,240991,9.49004,76.3264
Aligarh,753207,27.8815,78.0746
Allahabad,1073438,25.4448,81.8432
Alwar,283228,27.5625,76.625
Amarnath,217780,19.2,73.1667
Ambala,146787,30.361,76.7978
Ambattur,341049,13.0982,80.1615
Amravati,603837,20.9333,77.75
Amritsar,1092450,31.6223,74.8753
Amroha,176253,28.9031,78.4698
Anand,138009,22.5525,72.9552
Anantapur,240442,14.6778,77.6081
Arrah,223676,25.5563,84.6634
Asansol,504271,23.6833,86.9833
Aurangabad,1016441,19.8776,75.3423
Avadi,250044,13.1147,80.1098
Azamgarh,116644,26.0683,83.1836
Bahadurgarh,153613,28.6929,76.9355
Baharampur,180547,24.1047,88.2515
Bahraigh,182218,27.5743,81.5947
Baidyabati,115504,22.785,88.3259
Balasore,114321,21.4927,86.9335
Bali,296973,22.6486,88.3411
Balurghat,141404,25.221,88.7773
Banda,152218,25.4776,80.3349
Bankura,133966,23.2324,87.0716
Barakpur,148174,22.766,88.3634
Baranagar,260072,22.6413,88.3773
Barasat,298127,22.7215,88.482
Barddhaman,301725,23.2557,87.8569
Bareilly,745435,28.3668,79.4317
Basti,115115,26.7882,82.7162
Batala,145468,31.8092,75.2029
Bathinda,242800,30.2075,74.9389
Beawar,130777,26.1012,74.3203
Belgaum,428720,15.8521,74.5045
Bellary,336681,15.142,76.924
Bengaluru,8443675,12.9719,77.5937
Bettiah,127008,26.8023,84.5031
Bhadravati,163903,13.8485,75.705
Bhadreswar,121662,22.8245,88.3384
Bhagalpur,361548,25.2445,86.9718
Bharatpur,229384,27.2173,77.4901
Bharuch,153528,21.6948,72.9805
Bhatpara,483129,22.8664,88.4011
Bhavnagar,605882,21.7629,72.1533
Bhayandar,520301,19.3016,72.8511
Bhilai,625138,21.2092,81.4285
Bhilwara,326431,25.3471,74.6408
Bhimavaram,142967,16.5408,81.5232
Bhind,174035,26.5667,78.7873
Bhiwandi,707035,19.3002,73.0588
Bhiwani,190855,28.793,76.1397
Bhopal,1599914,23.2547,77.4029
Bhubaneshwar,762243,20.2724,85.8338
Bhuj,133459,23.254,69.6693
Bhusaval,183001,21.0436,75.7851
Bidar,204071,17.908,77.5152
Bihar Sharif,244230,25.2008,85.5239
Bijapur,271064,16.8244,75.7154
Bikaner,576015,28.0176,73.3149
Bilaspur,282705,22.08,82.1554
Bilimora,510879,20.7696,72.9613
Bokaro,564319,23.6693,86.1516
Borivli,609617,19.235,72.8598
Botad,117053,22.1692,71.6667
Brahmapur,324726,19.3115,84.7929
Budaun,161555,28.0381,79.1267
Bulandshahr,198612,28.4039,77.8577
Burhanpur,202695,21.3087,76.2303
Chanda,328351,19.9508,79.2952
Chandannagar,180623,22.8622,88.368
Chandigarh,960787,30.7363,76.7884
Chapra,201597,25.7803,84.7471
Chennai,4681087,13.0878,80.2785
Chhindwara,134847,22.057,78.9396
Chikmagalur,121484,13.3223,75.774
Chitradurga,138587,14.2226,76.4004
Cochin,604696,9.93988,76.2602
Coimbatore,2136916,11.0056,76.9661
Cuddalore,173636,11.7562,79.7669
Cuddapah,127010,14.4799,78.8235
Cuttack,580000,20.465,85.8793
Dam Dam,122719,22.6334,88.4229
Damoh,118776,23.8331,79.4419
Darbhanga,287150,26.1522,85.8971
Darjiling,123797,27.0333,88.2667
Davangere,435128,14.4669,75.9269
Dehra Dun,522081,30.3244,78.0339
Dehri,129938,24.9025,84.1822
Delhi,10927986,28.652,77.2315
Deoghar,203123,24.4898,86.699
Deoli,120000,28.5025,77.2312
Deoria,129570,26.5017,83.7794
Dewas,261218,22.9659,76.0553
Dhanbad,1196214,23.7976,86.4299
Dharmavaram,114050,14.4143,77.7204
Dhulia,366980,20.9013,74.7774
Dibrugarh,122155,27.4799,94.9084
Dimapur,135860,25.9117,93.7217
Dinapore,152940,25.6371,85.0479
Dindigul,292512,10.369,77.9804
Dombivli,1193000,19.2167,73.0833
Durg,255283,21.1915,81.2762
Durgapur,518872,23.5158,87.308
Ellore,183387,16.7131,81.1044
Erode,521891,11.3428,77.7274
Etawah,257448,26.7761,79.0213
Faridabad,1220229,28.4112,77.3132
Farrukhabad,241152,27.3913,79.5793
Fatehpur,166480,25.9277,80.8127
Firozabad,306409,27.1509,78.3978
Fyzabad,153047,26.7755,82.1502
Gadag,162569,15.4298,75.6297
Gadag-Betageri,172813,15.4167,75.6167
Gajuwaka,258944,17.7,83.2167
Gandhidham,166388,23.0833,70.1333
Gandhinagar,195985,23.2167,72.6833
Ganganagar,231838,29.9201,73.875
Gangapur,120115,26.4725,76.7174
Gaya,423692,24.7969,85.0039
Ghaziabad,1199191,28.6653,77.4391
Godhra,131913,22.7755,73.6149
Gonda City,133583,27.1318,81.9533
Gondia,124897,21.4603,80.192
Gorakhpur,1324570,29.4477,83.3689
Gosaba,222764,22.1655,88.8007
Greater Noida,293908,28.4961,77.536
Gudivada,116161,16.4355,80.9956
Gulbarga,483615,17.3358,76.8376
Guna,153689,24.6469,77.3113
Guntakal Junction,120964,15.1711,77.3624
Guntur,530577,16.2997,80.4573
Gurgaon,197340,28.4601,77.0264
Guwahati,899094,26.1844,91.7458
Gwalior,882458,26.2298,78.1734
Gyanpur,200000,25.3327,82.4664
Habra,139297,22.842,88.6561
Hajipur,133606,25.6854,85.2098
Haldia,170695,22.0605,88.1097
Haldwani,139497,29.2225,79.5286
Halisahar,128172,22.9322,88.4186
Hanumangarh,155687,29.5818,74.3294
Haora,1027672,22.5769,88.3186
Hapur,242920,28.7299,77.7807
Hardoi,122635,27.3949,80.1317
Haridwar,186079,29.9479,78.1602
Hassan,128531,13.0071,76.0962
Hathras,126882,27.5955,78.052
Hazaribagh,153595,23.9924,85.3616
Hindupur,133298,13.8281,77.4914
Hisar,296436,29.1539,75.7229
Hoshiarpur,158142,31.5372,75.9127
