IsDistrict,District,IsTotal,InhabitedVillages,UninhabitedVillages,Towns,Households,Population,MalePopulation,FemalePopulation,Area,PopulationPerSqKm
DISTRICT,Kupwara,Total,353.0,9.0,10.0,113929.0,870354.0,474190.0,396164.0,2379.0,366.0
DISTRICT,Badgam,Total,462.0,12.0,9.0,103363.0,753745.0,398041.0,355704.0,1361.0,554.0
DISTRICT,Leh(Ladakh),Total,111.0,1.0,3.0,21909.0,133487.0,78971.0,54516.0,45110.0,3.0
DISTRICT,Kargil,Total,125.0,2.0,1.0,18338.0,140802.0,77785.0,63017.0,14036.0,10.0
DISTRICT,Punch,Total,170.0,8.0,3.0,90261.0,476835.0,251899.0,224936.0,1674.0,285.0
DISTRICT,Rajouri,Total,375.0,10.0,4.0,130401.0,642415.0,345351.0,297064.0,2630.0,244.0
DISTRICT,Kathua,Total,496.0,16.0,6.0,119583.0,616435.0,326109.0,290326.0,2502.0,246.0
DISTRICT,Baramula,Total,509.0,9.0,7.0,152635.0,1008039.0,534733.0,473306.0,4243.0,238.0
DISTRICT,Bandipore,Total,119.0,3.0,3.0,58392.0,392232.0,207680.0,184552.0,345.0,1137.0
DISTRICT,Srinagar,Total,11.0,0.0,5.0,191678.0,1236829.0,651124.0,585705.0,1979.0,625.0
DISTRICT,Ganderbal,Total,113.0,2.0,3.0,45361.0,297446.0,158720.0,138726.0,259.0,1148.0
DISTRICT,Pulwama,Total,319.0,10.0,5.0,86241.0,560440.0,293064.0,267376.0,1086.0,516.0
DISTRICT,Shupiyan,Total,226.0,3.0,1.0,44411.0,266215.0,136480.0,129735.0,312.0,853.0
DISTRICT,Anantnag,Total,335.0,7.0,12.0,153640.0,1078692.0,559767.0,518925.0,3574.0,302.0
DISTRICT,Kulgam,Total,226.0,5.0,7.0,73728.0,424483.0,217620.0,206863.0,410.0,1035.0
DISTRICT,Doda,Total,402.0,4.0,2.0,79636.0,409936.0,213641.0,196295.0,8912.0,46.0
DISTRICT,Ramban,Total,127.0,2.0,3.0,55490.0,283713.0,149132.0,134581.0,1329.0,213.0
DISTRICT,Kishtwar,Total,155.0,2.0,1.0,45209.0,230696.0,120165.0,110531.0,1644.0,140.0
DISTRICT,Udhampur,Total,325.0,6.0,6.0,99240.0,554985.0,296784.0,258201.0,2637.0,210.0
DISTRICT,Reasi,Total,253.0,2.0,5.0,56689.0,314667.0,166461.0,148206.0,1719.0,183.0
DISTRICT,Jammu,Total,780.0,72.0,20.0,314199.0,1529958.0,813821.0,716137.0,2342.0,653.0
DISTRICT,Samba,Total,345.0,31.0,6.0,65385.0,318898.0,169124.0,149774.0,904.0,353.0
DISTRICT,Chamba,Total,1110.0,481.0,5.0,102460.0,519080.0,261320.0,257760.0,6522.0002245146725,80.0
DISTRICT,Kangra,Total,3617.0,252.0,9.0,338887.0,1510075.0,750591.0,759484.0,5739.000080797061,263.0
DISTRICT,Lahul & Spiti,Total,280.0,241.0,0.0,6674.0,31564.0,16588.0,14976.0,13841.000106717893,2.0
DISTRICT,Kullu,Total,314.0,12.0,5.0,94807.0,437903.0,225452.0,212451.0,5503.000197040496,80.0
DISTRICT,Mandi,Total,2850.0,488.0,5.0,219145.0,999777.0,498065.0,501712.0,3950.00032714741,253.0
DISTRICT,Hamirpur,Total,1671.0,54.0,4.0,105519.0,454768.0,217070.0,237698.0,1117.999908243244,407.0
DISTRICT,Una,Total,790.0,58.0,5.0,110332.0,521173.0,263692.0,257481.0,1539.9999053468234,338.0
DISTRICT,Bilaspur,Total,953.0,108.0,4.0,80485.0,381956.0,192764.0,189192.0,1167.0003378612182,327.0
DISTRICT,Solan,Total,2383.0,161.0,8.0,122425.0,580320.0,308754.0,271566.0,1936.0005246703984,300.0
DISTRICT,Sirmaur,Total,968.0,8.0,3.0,98208.0,529855.0,276289.0,253566.0,2825.0001594548926,188.0
DISTRICT,Shimla,Total,2705.0,526.0,11.0,184362.0,814010.0,425039.0,388971.0,5131.000407287827,159.0
DISTRICT,Kinnaur,Total,241.0,419.0,0.0,19976.0,84121.0,46249.0,37872.0,6400.999861719775,13.0
DISTRICT,Gurdaspur,Total,1515.0,80.0,27.0,443666.0,2298323.0,1212617.0,1085706.0,3550.999920093959,647.0
DISTRICT,Kapurthala ,Total,612.0,76.0,9.0,167989.0,815168.0,426311.0,388857.0,1633.0021470810038,499.0
DISTRICT,Jalandhar,Total,922.0,19.0,21.0,461635.0,2193590.0,1145211.0,1048379.0,2624.0,836.0
DISTRICT,Hoshiarpur,Total,1385.0,31.0,13.0,336994.0,1586625.0,809057.0,777568.0,3386.0013417644177,469.0
DISTRICT,Shahid Bhagat Singh Nagar ,Total,458.0,10.0,8.0,129500.0,612310.0,313291.0,299019.0,1282.0029369038623,478.0
DISTRICT,Fatehgarh Sahib,Total,442.0,4.0,5.0,118100.0,600163.0,320795.0,279368.0,1180.0,509.0
DISTRICT,Ludhiana,Total,885.0,22.0,20.0,716826.0,3498739.0,1867816.0,1630923.0,3578.0,978.0
DISTRICT,Moga,Total,319.0,6.0,5.0,193256.0,995746.0,525920.0,469826.0,2242.0,444.0
DISTRICT,Firozpur,Total,955.0,45.0,13.0,385994.0,2029074.0,1071637.0,957437.0,5305.0,382.0
DISTRICT,Muktsar,Total,233.0,1.0,4.0,174360.0,901896.0,475622.0,426274.0,2593.0,348.0
DISTRICT,Faridkot,Total,163.0,8.0,3.0,120893.0,617508.0,326671.0,290837.0,1458.0,424.0
DISTRICT,Bathinda,Total,279.0,2.0,12.0,273902.0,1388525.0,743197.0,645328.0,3353.0,414.0
DISTRICT,Mansa,Total,238.0,2.0,5.0,149630.0,769751.0,408732.0,361019.0,2198.0,350.0
DISTRICT,Patiala,Total,895.0,17.0,12.0,372293.0,1895686.0,1002522.0,893164.0,3325.0,570.0
DISTRICT,Amritsar ,Total,703.0,36.0,15.0,488898.0,2490656.0,1318408.0,1172248.0,2683.0,928.0
DISTRICT,Tarn Taran,Total,479.0,10.0,4.0,203421.0,1119627.0,589369.0,530258.0,2414.0,464.0
DISTRICT,Rupnagar,Total,591.0,20.0,8.0,135635.0,684627.0,357485.0,327142.0,1356.0,505.0
DISTRICT,Sahibzada Ajit Singh Nagar,Total,403.0,16.0,15.0,205411.0,994628.0,529253.0,465375.0,1094.0,909.0
DISTRICT,Sangrur,Total,564.0,7.0,13.0,318870.0,1655169.0,878029.0,777140.0,3625.0,457.0
DISTRICT,Barnala,Total,127.0,1.0,5.0,115798.0,595527.0,317522.0,278005.0,1482.0,402.0
DISTRICT,Chandigarh,Total,5.0,0.0,6.0,241173.0,1055450.0,580663.0,474787.0,114.0,9258.0
DISTRICT,Uttarkashi,Total,694.0,13.0,3.0,67602.0,330086.0,168597.0,161489.0,8016.0,41.0
DISTRICT,Chamoli,Total,1170.0,76.0,6.0,88964.0,391605.0,193991.0,197614.0,8029.999497604924,49.0
DISTRICT,Rudraprayag,Total,653.0,35.0,2.0,53542.0,242285.0,114589.0,127696.0,1984.0,122.0
DISTRICT,Tehri Garhwal,Total,1774.0,88.0,7.0,132714.0,618931.0,297986.0,320945.0,3642.0,170.0
DISTRICT,Dehradun,Total,731.0,17.0,22.0,347001.0,1696694.0,892199.0,804495.0,3088.0,549.0
DISTRICT,Garhwal,Total,3142.0,331.0,8.0,161778.0,687271.0,326829.0,360442.0,5329.0,129.0
DISTRICT,Pithoragarh,Total,1572.0,103.0,3.0,114730.0,483439.0,239306.0,244133.0,7090.0,68.0
DISTRICT,Bageshwar,Total,874.0,73.0,1.0,58046.0,259898.0,124326.0,135572.0,2241.0,116.0
DISTRICT,"Almora
",Total,2184.0,105.0,5.0,140577.0,622506.0,291081.0,331425.0,3144.0,198.0
DISTRICT,Champawat,Total,662.0,55.0,4.0,53953.0,259648.0,131125.0,128523.0,1766.0,147.0
