City,AirRouteData_AirportCode,Airport_City_Coords
Beijing,PEK,"40.08010355331805, 116.60355198034569"
Tokyo,NRT,"35.77225652969683, 140.39320414957297"
Seoul,ICN,"37.460446268195, 126.44107120727752"
Taipei,TPE,"25.079933185758446, 121.23487145679442"
Dhaka,DAC,"23.84381709750168, 90.40344018191729"
Delhi,DEL,"28.55636027916676, 77.10075173170472"
Kathmandu,KTM,"27.6984508597502, 85.35964152244904"
Colombo,CMB,"7.180389378180354, 79.88371565592526"
Phnom Penh,PNH,"11.55269098701625, 104.84543680880405"
Jakarta,CGK,"-6.126905644560297, 106.65402812602586"
Vientiane,VTE,"17.975436857993348, 102.56908890884412"
Manila,MNL,"14.512481620194832, 121.01707662600964"
Singapore,SIN,"1.3646347148786526, 103.99200286646771"
Bangkok,BKK,"13.690228419037684, 100.7495437694407"
Hanoi,HAN,"21.218924916856373, 105.80468588188766"
Kuala Lumpur,KUL,"2.742004795286241, 101.70206115297111"
