StationCode,District,State
BDHL,Jaipur,Rajasthan
KHH,Bareilly,Uttar Pradesh
SRKN,Hanumangarh,Rajasthan
BKKA,Hanumangarh,Rajasthan
NHR,Hanumangarh,Rajasthan
PRGD,Chennai,Tamil Nadu
KNNA,Sirsa,Haryana
JKR,Betul,Madhya Pradesh
BYS,Betul,Madhya Pradesh
GW,Sagar,Madhya Pradesh
DGD,Sagar,Madhya Pradesh
DOD,Ratlam,Madhya Pradesh
GAJ,Sagar,Madhya Pradesh
JNM,South 24 Parganas,West Bengal
NSD,Ajmer,Rajasthan
PHA,Damoh,Madhya Pradesh
NZB,Nizamabad,Andhra Pradesh
RJO,Begusarai,Bihar
ADT,Ariyalur,Tamil Nadu
KMU,Ariyalur,Tamil Nadu
MNM,Sivaganga,Tamil Nadu
GKP,Gorakhpur,Uttar Pradesh
VRM,Vadodara,Gujarat
GKC,Gorakhpur,Uttar Pradesh
ITA,Vadodara,Gujarat
BTU,Baghpat,Uttar Pradesh
MOGA,Moga,Punjab
SIOB,Rajkot,Gujarat
RDK,Sikar,Rajasthan
PVD,Guntur,Andhra Pradesh
YLM,Vishakhapatnam,Andhra Pradesh
CHPT,Dindigul,Tamil Nadu
JLD,Bara Banki,Uttar Pradesh
BRJN,Jharsuguda,Orissa
CLJ,Gonda,Uttar Pradesh
KTHL,Gonda,Uttar Pradesh
MND,Sant Kabir Nagar,Uttar Pradesh
SNSI,Ahmednagar,Maharashtra
DLJ,Bhavnagar,Gujarat
PGW,Jalandhar,Punjab
JUP,Jhunjhunun,Rajasthan
JSG,Jharsuguda,Orissa
KYW,Siwan,Bihar
MHRN,Siwan,Bihar
TKVR,Saran,Bihar
DPI,Dharmapuri,Tamil Nadu
AQG,Jaisalmer,Rajasthan
NEA,Salem,Tamil Nadu
GRL,Vaishali,Bihar
KHI,Vaishali,Bihar
VNJ,Erode,Tamil Nadu
CBF,Coimbatore,Tamil Nadu
UMB,Ambala,Haryana
SRO,Kaushambi,Uttar Pradesh
SJT,Kaushambi,Uttar Pradesh
BDNP,Kaushambi,Uttar Pradesh
MTPC,Baran,Rajasthan
HTZ,Begusarai,Bihar
DDNI,Goalpara,Assam
RDE,Faridabad,Haryana
IJ,Lucknow,Uttar Pradesh
RMX,Barmer,Rajasthan
PBE,Pilibhit,Uttar Pradesh
RMB,Jhunjhunun,Rajasthan
MGS,Chandauli,Uttar Pradesh
RSWT,Churu,Rajasthan
BKNA,Jyotiba Phule Nagar,Uttar Pradesh
HBD,Hoshangabad,Madhya Pradesh
ANA,Damoh,Madhya Pradesh
BNI,Hoshangabad,Madhya Pradesh
DMGN,Dibrugarh,Assam
LKPL,Hyderabad,Andhra Pradesh
BRUD,East Nimar,Madhya Pradesh
DVL,Nashik,Maharashtra
JRTR,Seoni,Madhya Pradesh
REWA,Rewa,Madhya Pradesh
DOK,Ahmadabad,Gujarat
NDR,Vadodara,Gujarat
MYG,Vadodara,Gujarat
MBA,Mahoba,Uttar Pradesh
JGZ,Mandla,Madhya Pradesh
BHKH,Aurangabad,Bihar
NOLI,Baghpat,Uttar Pradesh
SUJR,Baghpat,Uttar Pradesh
AMOD,Bharuch,Gujarat
LKD,Vadodara,Gujarat
VKL,Surat,Gujarat
BY,Greater Bombay,Maharashtra
BNR,Vaishali,Bihar
KTY,Dharmapuri,Tamil Nadu
BLMR,Jorhat,Assam
ANJ,Amravati,Maharashtra
DEB,Nadia,West Bengal
ELP,Amravati,Maharashtra
BTY,Nadia,West Bengal
WARUD,Wardha,Maharashtra
VLKN,Nagapattinam,Tamil Nadu
PCU,Krishna,Andhra Pradesh
BNPT,Vaishali,Bihar
JM,Buldana,Maharashtra
GPJ,Vizianagaram,Andhra Pradesh
ABEO,Chennai,Tamil Nadu
SEG,Buldana,Maharashtra
GDU,Seoni,Madhya Pradesh
BGNA,Barddhaman,West Bengal
KLNP,Nadia,West Bengal
NGZ,Akola,Maharashtra
PS,Akola,Maharashtra
BRDB,East Midnapore,West Bengal
GAO,Akola,Maharashtra
RRL,Nagpur,Maharashtra
KHAT,Nagpur,Maharashtra
BRD,Bhandara,Maharashtra
KOKA,Bhandara,Maharashtra
DAO,Jharsuguda,Orissa
HGR,Jharsuguda,Orissa
NIR,Mandla,Madhya Pradesh
NCH,Jorhat,Assam
APDJ,Kochbihar,West Bengal
BRE,Kaushambi,Uttar Pradesh
JTK,Uttar Dinajpur,West Bengal
MNJ,Kaushambi,Uttar Pradesh
SYWN,Kaushambi,Uttar Pradesh
MRE,Kaushambi,Uttar Pradesh
BMU,Allahabad,Uttar Pradesh
SFG,Allahabad,Uttar Pradesh
KLX,Guntur,Andhra Pradesh
CLVR,Guntur,Andhra Pradesh
KVR,West Godavari,Andhra Pradesh
GVN,West Godavari,Andhra Pradesh
KJKD,Palakkad,Kerala
SNKR,Puruliya,West Bengal
VNK,Seoni,Madhya Pradesh
GCN,Kolkata,West Bengal
SEY,Seoni,Madhya Pradesh
SDMD,Puruliya,West Bengal
BJU,Begusarai,Bihar
DMO,Damoh,Madhya Pradesh
ADD,Kheda,Gujarat
CLC,Amreli,Gujarat
RNO,Vadodara,Gujarat
HP,Pali,Rajasthan
KUGT,North Tripura,Tripura
AWB,Aurangabad,Maharashtra
BNL,Kurnool,Andhra Pradesh
SMNH,Junagadh,Gujarat
CUPJ,Cuddalore,Tamil Nadu
PLJ,Bharuch,Gujarat
GOLE,Barmer,Rajasthan
TRO,Bhandara,Maharashtra
JMG,Raigarh,Chhattisgarh
AHLR,Deoria,Uttar Pradesh
TEL,Guntur,Andhra Pradesh
TAT,Chittoor,Andhra Pradesh
CU,West Godavari,Andhra Pradesh
PSDA,West Godavari,Andhra Pradesh
MBGA,Jalor,Rajasthan
JNE,Jalor,Rajasthan
SMR,Jalor,Rajasthan
SUT,Pali,Rajasthan
PBR,Porbandar,Gujarat
CKVD,Davanagere,Karnataka
BHG,Jaipur,Rajasthan
HMO,Hanumangarh,Rajasthan
SANR,Gorakhpur,Uttar Pradesh
GRD,Giridih,Jharkhand
CC,Gorakhpur,Uttar Pradesh
KMPT,Warangal,Andhra Pradesh
HSP,Warangal,Andhra Pradesh
GGY,Barmer,Rajasthan
NNPR,Deoria,Uttar Pradesh
MW,Siwan,Bihar
KUY,Erode,Tamil Nadu
PLL,Palakkad,Kerala
AGTL,West Tripura,Tripura
MNY,Palakkad,Kerala
LDY,Palakkad,Kerala
PLPM,Palakkad,Kerala
OTP,Palakkad,Kerala
MNUR,Palakkad,Kerala
ZRDE,Siwan,Bihar
SV,Siwan,Bihar
PCK,Siwan,Bihar
DDA,Siwan,Bihar
CW,Siwan,Bihar
POK,Jaisalmer,Rajasthan
OCH,Jaisalmer,Rajasthan
EKMA,Siwan,Bihar
DDP,Saran,Bihar
KPS,Saran,Bihar
BTHL,Vaishali,Bihar
GB,Deoria,Uttar Pradesh
BALR,Deoria,Uttar Pradesh
DEOS,Deoria,Uttar Pradesh
NRA,Deoria,Uttar Pradesh
AGMN,Dhuburi,Assam
BND,Greater Bombay,Maharashtra
