From,FromHub,To,Dummy
DEL,1,AMD,-1
DEL,1,BOM,-1
DEL,1,BLR,-1
LKO,0,BOM,-1
LKO,0,BLR,-1
GAU,0,IXA,-1
GAU,0,BLR,-1
AMD,1,DEL,-1
AMD,1,BOM,-1
AMD,1,BLR,-1
BOM,1,AMD,-1
BOM,1,DEL,-1
BOM,1,LKO,-1
BOM,1,GOX,-1
BOM,1,BLR,-1
BOM,1,MAA,-1
PNQ,0,BLR,-1
VTZ,0,BLR,-1
HYD,0,GOX,-1
HYD,0,BLR,-1
GOX,0,BOM,-1
GOX,0,HYD,-1
GOX,0,BLR,-1
BLR,1,GOX,-1
BLR,1,PNQ,-1
BLR,1,BOM,-1
BLR,1,AMD,-1
BLR,1,DEL,-1
BLR,1,LKO,-1
BLR,1,HYD,-1
BLR,1,GAU,-1
BLR,1,VTZ,-1
BLR,1,COK,-1
BLR,1,MAA,-1
MAA,1,BOM,-1
MAA,1,BLR,-1
MAA,1,COK,-1
COK,0,BLR,-1
COK,0,MAA,-1
