From,FromHub,To,Dummy
COK,0,BLR,-1
COK,0,DEL,-1
MAA,0,BLR,-1
MAA,0,HYD,-1
MAA,0,GAU,-1
BLR,1,COK,-1
BLR,1,MAA,-1
BLR,1,GOI,-1
BLR,1,HYD,-1
BLR,1,VTZ,-1
BLR,1,PNQ,-1
BLR,1,BOM,-1
BLR,1,STV,-1
BLR,1,BBI,-1
BLR,1,CCU,-1
BLR,1,IXR,-1
BLR,1,GAU,-1
BLR,1,IXB,-1
BLR,1,LKO,-1
BLR,1,JAI,-1
BLR,1,DEL,-1
GOI,0,BLR,-1
GOI,0,HYD,-1
GOI,0,BOM,-1
GOI,0,LKO,-1
GOI,0,DEL,-1
HYD,1,MAA,-1
HYD,1,BLR,-1
HYD,1,GOI,-1
HYD,1,VTZ,-1
HYD,1,CCU,-1
HYD,1,JAI,-1
VTZ,0,BLR,-1
VTZ,0,HYD,-1
PNQ,0,BLR,-1
PNQ,0,BBI,-1
PNQ,0,JAI,-1
PNQ,0,DEL,-1
BOM,1,GOI,-1
BOM,1,BLR,-1
BOM,1,BBI,-1
BOM,1,IXR,-1
BOM,1,JAI,-1
BBI,0,BLR,-1
BBI,0,PNQ,-1
BBI,0,BOM,-1
BBI,0,DEL,-1
BBI,0,CCU,-1
STV,0,BLR,-1
STV,0,CCU,-1
STV,0,DEL,-1
CCU,1,BLR,-1
CCU,1,BBI,-1
CCU,1,HYD,-1
CCU,1,STV,-1
CCU,1,LKO,-1
CCU,1,IXB,-1
CCU,1,IMF,-1
IXR,0,BLR,-1
IXR,0,BOM,-1
IXR,0,DEL,-1
AJL,0,DEL,-1
IMF,0,CCU,-1
IMF,0,GAU,-1
GAU,0,MAA,-1
GAU,0,BLR,-1
GAU,0,DEL,-1
GAU,0,IMF,-1
IXB,0,CCU,-1
IXB,0,BLR,-1
IXB,0,DEL,-1
LKO,0,CCU,-1
LKO,0,BLR,-1
LKO,0,GOI,-1
LKO,0,DEL,-1
JAI,0,BOM,-1
JAI,0,PNQ,-1
JAI,0,BLR,-1
JAI,0,HYD,-1
JAI,0,DEL,-1
DEL,1,COK,-1
DEL,1,BLR,-1
DEL,1,GOI,-1
DEL,1,PNQ,-1
DEL,1,STV,-1
DEL,1,BBI,-1
DEL,1,IXR,-1
DEL,1,LKO,-1
DEL,1,AJL,-1
DEL,1,GAU,-1
DEL,1,IXB,-1
DEL,1,JAI,-1
DEL,1,SXR,-1
SXR,0,DEL,-1
