From,FromHub,To,Dummy
KQH,0,IDR,-1
KQH,0,STV,-1
JDH,0,IXG,-1
BHJ,0,AMD,-1
AMD,1,BHJ,-1
AMD,1,IXG,-1
IDR,0,KQH,-1
IDR,0,IXG,-1
JGA,0,HYD,-1
JGA,0,BLR,-1
NAG,0,IXG,-1
STV,1,KQH,-1
STV,1,IXG,-1
ISK,0,IXG,-1
BOM,1,KLH,-1
BOM,1,IXG,-1
IXX,0,BLR,-1
GBI,0,BLR,-1
GBI,0,TIR,-1
HYD,1,BLR,-1
HYD,1,JGA,-1
KLH,0,BOM,-1
IXG,1,BOM,-1
IXG,1,STV,-1
IXG,1,AMD,-1
IXG,1,JDH,-1
IXG,1,ISK,-1
IXG,1,IDR,-1
IXG,1,NAG,-1
IXG,1,TIR,-1
HBX,0,BLR,-1
TIR,0,GBI,-1
TIR,0,IXG,-1
BLR,1,HBX,-1
BLR,1,JGA,-1
BLR,1,GBI,-1
BLR,1,IXX,-1
BLR,1,HYD,-1
