Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,399088.0,405751.0
2024,1148304.5141927283,1178081.3812712184
2025,1218279.555031619,1252363.2715036324
2026,1289574.8978190036,1328565.087820434
2027,1361986.113803431,1406568.7878856566
2028,1435171.3017104473,1486130.056806541
2029,1508654.509789789,1566883.5418148008
2030,1581816.6314891246,1648335.7980340896
2031,1653878.2116043386,1729850.3961850354
2032,1723875.919389892,1810626.9876350355
2033,1790633.1947316094,1889674.8836618848
2034,1852724.9370842339,1965781.07698534
2035,1908435.7349037942,2037472.2685861154
