Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,728574.0,745622.0
2024,748687.7289901933,769132.4128102139
2025,772137.4980255533,794016.9724168242
2026,794665.1093387366,818023.1993427477
2027,816658.0265889086,841555.4304300591
2028,838318.925621867,864829.3959859076
2029,859740.9782205848,887948.6355746632
2030,880943.8794135677,910941.4031464076
2031,901893.6060265576,933781.009836976
2032,922513.796849043,956397.5639248512
2033,942692.1504220897,978684.5683455374
