Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,195643.0,199558.0
2024,534774.9968068723,536592.4420469035
2025,575322.723479423,575863.1546886963
2026,618671.7818726089,617657.8450531723
2027,665209.2333593296,662323.2721284697
2028,715322.2724797186,710198.7706363559
2029,769420.7794947431,761638.3848122872
2030,827952.4019772795,817025.13823373
2031,891414.1542417489,876781.5241075436
2032,960362.6836517113,941378.4023060143
2033,1035424.4129561279,1011343.5168488555
2034,1117306.2877635781,1087270.3478448526
2035,1206807.6179257745,1169827.7584495316
