Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,930275.0,931513.0
2024,1079657.5854657404,1083088.2530821492
2025,1156361.7878932878,1160844.1726582907
2026,1231896.7960382868,1237425.8213882367
2027,1308487.739968998,1315084.7114461055
2028,1387334.42475968,1395049.3417200302
2029,1469271.325305204,1478178.9022557624
2030,1554966.2158025885,1565161.995473823
2031,1644999.222533403,1656596.76828299
2032,1739905.069133074,1753034.1359646725
2033,1840200.5180086629,1855005.9505138327
