Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,182424.0,185573.0
2024,560051.8228538148,556182.3324020612
2025,598727.9017408899,593449.67812354
2026,638949.18510758,632034.016090238
2027,681006.5975787549,672199.4541420897
2028,725156.4956120679,714169.4257135859
2029,771639.802873859,758145.5657358654
2030,820694.8113075704,804320.0069980184
2031,872566.5576006945,852884.0273788644
2032,927514.2806069487,904034.5635694263
2033,985817.8460026036,957979.4762347478
2034,1047783.71776965,1014942.1348312758
2035,1113750.8893732948,1075165.7148155111
