Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,27523.0,28451.0
2024,556255.5003991374,571801.4632566636
2025,624858.039113268,643036.0587412836
2026,698219.5450450545,719438.5683602324
2027,776559.1282684138,801291.2237710145
2028,860072.3081234242,888862.0873929663
2029,948928.4882944612,982404.0616220427
2030,1043264.5269531145,1082150.1853264119
2031,1143175.7359347574,1188306.5964023788
2032,1248704.579926198,1301043.4769933072
2033,1359826.9452242022,1420483.8997708159
