Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,28778.0,29134.0
2024,282574.3890359845,298090.02642846276
2025,303699.67313397885,321478.9624078163
2026,324276.3079142291,344582.64781712
2027,344095.97403822455,367226.0075285455
2028,362903.26709372166,389190.2524269567
2029,380394.26420875266,410212.0821270637
2030,396212.2037232745,429979.99733949214
2031,409941.52682327107,448128.9978036631
2032,421100.6294725613,464234.03501512384
2033,429133.3887543761,477802.30110646976
