Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,75849.93396529087,75699.8163550041
2024,254682.46936113446,256349.49328982728
2025,275849.28140579304,277643.28255433484
2026,298404.5444108665,300338.12917710136
2027,322468.76845929516,324555.5891548602
2028,348166.7072259748,350421.40280272317
2029,375630.8290311872,378069.07051450363
2030,405003.2922644503,407641.8774025547
2031,436437.36851676175,439294.34167586145
2032,470098.68884774635,473193.4762329991
2033,506166.46947763057,509520.02602468774
