Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,30028.0,32170.0
2024,782981.7373722108,783219.8042738255
2025,877943.2303679025,877909.3699659944
2026,981001.2083933762,980672.1687323089
2027,1092983.2379473457,1092337.1250333553
2028,1214773.7770824283,1213789.0711184638
2029,1347336.6031532907,1345991.4700049832
2030,1491729.1200331668,1490000.914542403
2031,1649115.1671840483,1646980.059854621
2032,1820778.1521303868,1818210.8333381093
2033,2008135.1519912179,2005108.5828040866
