Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,34570.0,35767.0
2024,177702.7260409345,182332.35610052367
2025,193208.589721772,198369.39727426844
2026,209368.78715062927,215132.93374850735
2027,226213.7215486518,232664.55154871725
2028,243760.37689905864,250993.42387126718
2029,262015.37111900677,270139.6731210269
2030,280975.4714660523,290115.1790237392
2031,300626.9820054869,310923.2590823539
2032,320944.48472164996,332557.7155863068
2033,341889.0951284633,355001.4202749486
