Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,45554.0,49042.0
2024,624244.3465704024,663261.4483749957
2025,672247.5383509086,717596.3417989451
2026,719433.2992169522,771988.2521644279
2027,765478.3167735713,826232.5562173873
2028,809880.4151042064,879962.3862474179
2029,851961.9174574802,932654.3504536378
2030,890859.4206068118,983621.038510951
2031,925504.413315552,1031994.7648139258
2032,954596.4567572849,1076704.316347004
2033,976569.406081995,1116445.2501216326
