Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,144941.0,150985.0
2024,304652.07812708954,347013.22527631925
2025,307575.3473358832,354364.2550544601
2026,307010.41485168296,358588.9337262896
2027,302767.23125310056,359532.51269051497
2028,294521.28164920886,356907.38913290476
2029,281831.3149185077,350311.5693173932
2030,264147.4774236141,339237.3777735747
2031,240813.2381908252,323073.85797885706
2032,211062.8342475671,301104.63451579254
2033,174015.243921648,272502.27199687884
