Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,170596.93306367184,177696.6890091527
2024,340602.83317943197,358014.1060244664
2025,360578.78172481223,378731.7297224256
2026,381218.32912787196,400110.42200021556
2027,402789.65311799804,422410.3609278824
2028,425519.67359322036,445848.3284095469
2029,449616.5458133898,470620.3296480699
2030,475283.62067713763,496915.4227721697
2031,502728.8564663463,524924.8446626457
2032,532171.7924637026,554848.5908088257
2033,563849.2666823248,586900.6509640778
