Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,212878.0,219480.0
2024,1285335.5988088162,1324275.0014584842
2025,1390533.8617435577,1433954.5955526873
2026,1500185.8605469859,1548527.481251427
2027,1615425.8785333775,1669190.239437537
2028,1737227.6873141532,1796980.0195831808
2029,1866489.5096539643,1932860.9230415293
2030,2004081.9065509366,2077773.2996194002
2031,2150880.697146798,2232667.912273841
2032,2307792.1302831154,2398532.2204197524
2033,2475773.5124924313,2576412.041657416
