Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,24710.0,27509.0
2024,231009.0806674675,239204.824941818
2025,246910.73593213718,255722.59929081012
2026,262219.8628134661,271694.45674216887
2027,277108.50229281094,287297.9242177363
2028,291672.7361857221,302633.88233435794
2029,305951.7631574233,317745.9269905758
2030,319939.57847711106,332632.2255267327
2031,333592.1627997392,347252.79949558736
2032,346831.64689815225,361533.72120520554
2033,359548.31171277753,375369.09705428465
