Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,37874.32196014325,38895.2055332059
2024,337661.81130892737,338410.9536507703
2025,380801.49533112365,381509.6140776222
2026,428581.9177888236,429243.654360096
2027,481566.3560980153,482175.75572291814
2028,540389.8275854911,540940.2689840203
2029,605770.2175178094,606254.3343391907
2030,678520.2642751867,678929.8566417281
2031,759560.9932464835,759886.927847108
2032,849936.9863875343,850169.0834638575
2033,950833.8228028902,950960.7281768813
