Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,116395.32566853172,119452.69577563556
2024,691959.6918421999,707578.7405847522
2025,768326.8194544232,786282.2761387139
2026,850696.6225885259,871349.9479578638
2027,939540.7144666819,963308.7092522811
2028,1035333.0107571898,1062696.3674593524
2029,1138556.538460905,1170069.658891422
2030,1249706.1610439238,1286008.4442330375
2031,1369288.9088893007,1411117.7407122294
2032,1497822.6007963466,1546028.3087988005
2033,1635833.010375975,1691396.085276918
