Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,196840.89581049475,202303.64062213682
2024,477528.8742950141,496782.3666353146
2025,504365.1554467878,525685.9120600827
2026,531204.190164153,554833.9129525545
2027,558032.6681328102,584241.2575579587
2028,584777.5947068108,613866.7670904383
2029,611315.7225139858,643622.9851163866
2030,637477.6580595225,673380.7106059603
2031,663048.6152151925,702970.2464025869
2032,687766.7989141949,732180.3488750579
2033,711319.9706633436,760755.435006423
