Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,7811.761111413228,8340.623995153463
2024,151048.29920974138,154831.1129445883
2025,167049.10949196195,171371.29634540353
2026,183591.35306470044,188527.81906907525
2027,200799.73660616094,206434.9038810874
2028,218768.99947617238,225198.27158605258
2029,237574.04722177362,244905.41222434113
2030,257275.9775435733,265631.78532767406
2031,277925.73167897714,287444.68169457087
2032,299566.23064169986,310405.6070180596
2033,322233.47460360546,334571.6678382742
