Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,-197596.17881760246,-196829.09477105
2024,-129483.05672980139,-128124.21621929834
2025,-120130.61564580744,-118694.98477708858
2026,-110022.9100244942,-108502.34286789493
2027,-99050.27380184556,-97435.95989737981
2028,-87099.89341703888,-85382.26344638452
2029,-74052.82939498796,-72221.45479113402
2030,-59781.99669702833,-57825.48216867402
2031,-44150.44503930116,-42056.31267171756
2032,-27009.690827245086,-24764.25431143601
2033,-8197.99414595083,-5786.221616718913
