Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,-105304.69555158845,-104417.86826191795
2024,4785.949489155255,4654.207276927544
2025,21218.350677918967,21034.974179978042
2026,39298.77384752683,39059.78803930088
2027,59192.29153453093,58893.42043286693
2028,81078.75856351727,80715.40179842254
2029,105155.37695152084,104722.58515206403
2030,131638.90599674484,131131.35446492463
2031,160767.87750102408,160179.8378772987
2032,192804.96666971175,192130.27637127932
2033,228039.59292233404,227271.62215503596
