Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,159482.13353264428,162654.6013332056
2024,684722.2601257937,703441.1272053056
2025,753977.173697245,775497.3540305403
2026,828252.6404603614,852990.7994113064
2027,907811.3815279134,936247.7013382823
2028,992901.8984153846,1025589.2922345459
2029,1083756.1037162659,1121330.955244503
2030,1180583.9690746942,1223778.5739009823
2031,1283566.0391883673,1333222.9730065411
2032,1392843.9500716745,1449932.635596226
2033,1508508.8077229369,1574144.6006034191
