Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,227895.88495128287,232692.4756281508
2024,475683.270042865,496327.0204352283
2025,496838.58480215684,519827.0771292243
2026,517551.75347766065,543144.5117276238
2027,537635.8177746732,566125.281062841
2028,556860.6913917805,588575.3437662784
2029,574951.5360697932,610259.6832148829
2030,591584.9431742758,630899.1189201324
2031,606383.7048718873,650165.7221331036
2032,618910.3955018419,667677.0790258695
2033,628659.8068630802,682989.4632338792
