Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,136933.78072282064,137449.01072121618
2024,301418.2103381122,304497.58181541343
2025,321198.099784156,324524.7892989402
2026,342328.4468560048,345920.1493597877
2027,364927.97581894184,368804.26546942256
2028,389122.49431366904,393304.7385619387
2029,415047.6576567927,419559.05840494763
2030,442850.8955783428,447716.59368644323
2031,472693.0254523342,477940.2406912862
2032,504749.79936810484,510407.9939427467
2033,539213.5071235548,545314.56809006
