Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,5324.0,5327.0
2024,745393.5072841083,745036.0125621049
2025,839287.2286569942,838913.6963595581
2026,941245.639694632,940853.929661081
2027,1052106.9621006371,1051699.3539691037
2028,1172767.3483989942,1172349.6137640262
2029,1304203.1797555392,1303784.0554174911
2030,1447485.9030489905,1447076.8231520867
2031,1603795.5033049062,1603410.5100450092
2032,1774434.3091277045,1774090.0926025272
2033,1960841.7683096228,1960557.8044420546
