Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,64118.51415193425,64591.23475811862
2024,194176.6808257292,198597.16272672516
2025,208566.22014042194,213609.70450466505
2026,223598.16430543514,229338.60111108766
2027,239310.01580620263,245833.09748815178
2028,255728.76302553804,263132.8201484744
2029,272873.40430198546,281270.6333144895
2030,290755.6803866757,300273.6761657015
2031,309379.93023760314,320163.51734481123
2032,328742.40427766315,340955.77549985104
2033,348830.16272128397,362659.34466697084
