Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,67547.0,67795.0
2024,610454.7148152186,649029.8453957359
2025,655027.0114897607,700391.538815549
2026,698771.3044152164,751854.2402080437
2027,741242.3523297061,803104.0259799539
2028,781824.1739622394,853673.9097361241
2029,819728.5652867334,902945.0919021793
2030,853980.743920267,950135.7226843479
2031,883396.190271565,994281.2775965795
2032,906550.2459131795,1034208.1671921265
2033,921740.8224123394,1068501.0120820762
