Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,169348.0,156975.0
2024,294001.83068330865,320744.0066084623
2025,294219.58909754106,325847.22069386963
2026,290938.5729841556,327868.074704114
2027,283846.8040548462,326542.51969869295
2028,272505.9620642555,321482.83417862444
2029,256364.2686161783,312191.61663435155
2030,234760.49091688823,298066.7521267914
2031,206922.08963806042,278400.4452527326
2032,171959.08220608684,252373.94416354026
2033,128854.50336602062,219048.87707135058
