Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,13063.00000000003,14124.0
2024,145736.282991079,159906.82866655616
2025,160731.35106099767,176101.26699088188
2026,176379.44515397158,193000.76492618612
2027,192826.81413247084,210756.20020330593
2028,210186.57254009377,229484.23604161246
2029,228556.34836198643,249285.4698704736
2030,248028.11334043797,270254.52034993155
2031,268693.8174027072,292485.78548016574
2032,290648.78023044777,316076.8843193173
2033,313993.89625402226,341130.8702203934
