Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,297887.0,299954.0
2024,1339425.9421181343,1376906.7836076035
2025,1446057.2850114135,1488755.5628260477
2026,1557131.790938755,1605541.6246801778
2027,1673661.81434752,1728352.2497136174
2028,1796507.3214946957,1858124.4687137785
2029,1926456.007870229,1995726.975260342
2030,2064267.0553159043,2142005.679691447
2031,2210700.2746188263,2297814.5060835215
2032,2366537.695019527,2464038.53742028
2033,2532600.679467795,2641612.654901644
