Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,38415.0,39267.99999999997
2024,209883.93791458843,218931.7109648625
2025,223307.18707559866,233428.77431202322
2026,236127.33501864385,247423.91179269843
2027,248394.49385816406,260985.34998952103
2028,260090.94005527798,274113.8508345867
2029,271145.3450005045,286757.6024529449
2030,281440.32480669813,298820.33271626197
2031,290815.85177418916,310165.2242966772
2032,299069.8370747884,320615.973071069
2033,305956.61806616816,329955.7490377742
