Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,32341.0,29286.0
2024,433607.7596780905,428377.57406324375
2025,488579.876790199,483050.74431978475
2026,549032.0494256538,543169.1858234224
2027,615601.0102681458,609365.7234503946
2028,689000.249364321,682349.4930761904
2029,770032.070393464,762917.947823457
2030,859600.2509292521,851969.4621759062
2031,958724.1443983543,950517.3710726142
2032,1068554.6579211166,1059705.877467169
2033,1190392.4540782447,1180828.1755628553
