Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,571403.0,573131.0
2024,1251352.626958182,1263682.3232580146
2025,1339795.4007717802,1354195.9206661908
2026,1435105.0974056313,1451907.601910975
2027,1537828.9671892452,1557416.5473287557
2028,1648521.7293836414,1671337.5707528177
2029,1767753.336880008,1794310.1069548477
2030,1896112.39647236,1927003.0546546702
2031,2034207.1872163496,2070117.443657487
2032,2182665.0112489997,2224387.692000294
2033,2342130.1439784537,2390581.7573574707
