Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,368562.0,376414.0
2024,751533.2141162845,771253.6712773199
2025,790118.301212514,811645.5456906749
2026,829553.769032355,853099.7856898571
2027,869900.4898090882,895702.1176632054
2028,911164.7185742409,939486.8883285343
2029,953308.4621942393,984447.7493565901
2030,996254.2677458846,1030542.825482897
2031,1039886.6506836849,1077696.5857323399
2032,1084051.193829753,1125799.4506261488
2033,1128551.8816074145,1174705.703789699
