Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,231530.0,223137.0
2024,477325.3107269466,470263.97121043
2025,505350.46395047643,498568.0205966856
2026,534764.6776225438,528306.3194239212
2027,565766.8409689337,559683.9286007305
2028,598530.9430269504,592882.0944353982
2029,633217.1435822281,628069.4150726474
2030,669978.4809069893,665408.6758095669
2031,708965.1978213772,705061.3336261337
2032,750327.5932280187,747190.5583678136
2033,794217.8902152905,791963.3232170661
