Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,-103152.33455557539,-102792.58281050158
2024,72530.88931601003,71465.16138662629
2025,94481.04025690528,93218.14140083613
2026,118075.63324402267,116592.53563339442
2027,143502.15328835024,141772.98527974478
2028,170956.54841629817,168952.29049328968
2029,200647.19147089042,198335.3339896251
2030,232797.61495317085,230141.77397184633
2031,267648.93845437944,264608.4255179847
2032,305462.28707999573,301991.6283061916
2033,346521.32086323155,342569.72006962367
