Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,-66237.40148665653,-65746.44252854731
2024,146284.90193513318,143834.7188020184
2025,174614.5318176338,171851.95522123444
2026,205439.8108389981,202331.148714846
2027,238999.99408335894,235507.90900393442
2028,275554.1860527782,271637.2920299177
2029,315384.84300288593,310997.2589132448
2030,358800.66480349906,353891.5193904171
2031,406139.4848391896,400652.367783186
2032,457771.3562042237,451643.7092260834
2033,514101.9212346399,507264.3625696028
